Wavelength (nm),P3HTPCBMBlendDCB_n,P3HTPCBMBlendDCB_k,n0,k0
601,2.12,0.3167146,1.5,0
602,2.13,0.3168207,1.5,0
603,2.13,0.3152064,1.5,0
604,2.13,0.313599,1.5,0
605,2.13,0.3111415,1.5,0
606,2.13,0.3086909,1.5,0
607,2.13,0.3060362,1.5,0
608,2.14,0.3033748,1.5,0
609,2.14,0.2990474,1.5,0
610,2.14,0.29472,1.5,0
611,2.14,0.2893454,1.5,0
612,2.14,0.283964,1.5,0
613,2.14,0.2779163,1.5,0
614,2.14,0.2718682,1.5,0
615,2.14,0.26514,1.5,0
616,2.14,0.2584117,1.5,0
617,2.14,0.2509626,1.5,0
618,2.14,0.2435135,1.5,0
619,2.14,0.2356429,1.5,0
620,2.14,0.2277722,1.5,0
621,2.14,0.2195139,1.5,0
622,2.14,0.2112487,1.5,0
623,2.13,0.2023784,1.5,0
624,2.13,0.1935081,1.5,0
625,2.13,0.184699,1.5,0
626,2.12,0.1758831,1.5,0
627,2.12,0.1674549,1.5,0
628,2.12,0.1590198,1.5,0
629,2.12,0.150612,1.5,0
630,2.11,0.1422041,1.5,0
631,2.11,0.1344559,1.5,0
632,2.11,0.1267076,1.5,0
633,2.1,0.1192994,1.5,0
634,2.1,0.1118844,1.5,0
635,2.09,0.1051698,1.5,0
636,2.09,0.0984483,1.5,0
637,2.09,0.0925225,1.5,0
638,2.09,0.0865967,1.5,0
639,2.08,0.0812353,1.5,0
640,2.08,0.075874,1.5,0
641,2.07,0.0711314,1.5,0
642,2.07,0.0663956,1.5,0
643,2.07,0.06221944,1.5,0
644,2.06,0.0580427,1.5,0
645,2.06,0.05456656,1.5,0
646,2.06,0.05109052,1.5,0
647,2.05,0.04808154,1.5,0
648,2.05,0.04507266,1.5,0
649,2.04,0.04252278,1.5,0
650,2.04,0.03997212,1.5,0
651,2.04,0.03786736,1.5,0
652,2.035,0.0357628,1.5,0
653,2.03,0.03388128,1.5,0
654,2.03,0.03199986,1.5,0
655,2.03,0.03046786,1.5,0
656,2.02,0.02893518,1.5,0
657,2.02,0.0276508,1.5,0
658,2.02,0.02636632,1.5,0
659,2.01,0.02527292,1.5,0
660,2.01,0.02417962,1.5,0
661,2.01,0.02324534,1.5,0
662,2.01,0.02231174,1.5,0
663,2,0.02152444,1.5,0
664,2,0.02073704,1.5,0
665,2,0.02012654,1.5,0
666,1.99,0.01951672,1.5,0
667,1.99,0.01897558,1.5,0
668,1.99,0.01843444,1.5,0
669,1.99,0.01795382,1.5,0
670,1.99,0.01747252,1.5,0
671,1.98,0.01706534,1.5,0
672,1.98E+00,0.01665748,1.5,0
673,1.98E+00,0.0163014,1.5,0
674,1.98E+00,0.01594522,1.5,0
675,1.98E+00,0.01563732,1.5,0
676,1.97E+00,0.01532942,1.5,0
677,1.97E+00,0.01506854,1.5,0
678,1.97E+00,0.01480756,1.5,0
679,1.97E+00,0.01459904,1.5,0
680,1.97E+00,0.01438974,1.5,0
681,1.96,0.0141615,1.5,0
682,1.96,0.01393316,1.5,0
683,1.96,0.01379808,1.5,0
684,1.96,0.013663,1.5,0
685,1.96,0.013498,1.5,0
686,1.96,0.0133334,1.5,0
